Lattice size,Block size,Input time for GPU,total iterations (GPU),Processing time for GPU,GPU Gflops,Output time for GPU,Total time for GPU,
32,4,0.478048,2606,59.554878,0.275675,0.373600,60.406525,
32,8,0.483872,2606,59.648514,0.275242,0.372032,60.504417,
32,16,0.478560,2606,55.044289,0.298265,0.372032,55.894882,
32,32,0.468704,2606,77.300735,0.212389,0.368832,78.138275,
64,4,0.448288,9745,253.233337,1.035482,0.347616,254.029236,
64,8,0.433184,9745,200.450302,1.308147,0.353696,201.237183,
64,16,0.439872,9745,259.072296,1.012144,0.346240,259.858429,
64,32,0.428512,9745,261.221191,1.003818,0.345024,261.994720,
128,4,0.518432,35073,1171.060547,3.328378,0.416128,1171.995117,
128,8,0.513120,35073,987.656738,3.946445,0.418560,988.588440,
128,16,0.504448,35073,1036.819214,3.759318,0.411104,1037.734741,
128,32,0.518560,35073,1041.529541,3.742316,0.417696,1042.465820,
256,4,0.769600,124611,6673.728516,8.432441,0.570880,6675.068848,
256,8,0.682720,124611,4282.142090,13.141979,0.587872,4283.412598,
256,16,0.664736,124611,3846.298340,14.631164,0.553408,3847.516602,
256,32,0.612064,124611,3887.917480,14.474542,0.507584,3889.037109,
512,4,1.324736,423553,52999.976562,14.550251,1.149536,53002.449219,
512,8,1.358464,423553,27398.996094,28.145664,1.182944,27401.539062,
512,16,1.453856,423553,24285.384766,31.754199,1.236384,24288.074219,
512,32,1.343136,423553,26002.582031,29.657168,1.136000,26005.062500,
